Table_Id,City,Summary_Level,Place_Fips,Geo_Id,State,State_Fips,Total_Population
100111,Kongiganak,160,41610,16000US0241610,AK,2,408
100112,Kotlik,160,41720,16000US0241720,AK,2,643
100113,Kotzebue,160,41830,16000US0241830,AK,2,3283
100114,Koyuk,160,41940,16000US0241940,AK,2,272
100115,Koyukuk,160,42050,16000US0242050,AK,2,80
100116,Kupreanof,160,42160,16000US0242160,AK,2,40
100117,Kwethluk,160,42380,16000US0242380,AK,2,824
100118,Kwigillingok,160,42490,16000US0242490,AK,2,331
100119,Lake Louise,160,42805,16000US0242805,AK,2,45
100120,Lake Minchumina,160,42820,16000US0242820,AK,2,21
100121,Lakes,160,42832,16000US0242832,AK,2,9028
100122,Larsen Bay,160,43040,16000US0243040,AK,2,61
100123,Lazy Mountain,160,43260,16000US0243260,AK,2,1637
100124,Levelock,160,43810,16000US0243810,AK,2,114
100125,Lime Village,160,44030,16000US0244030,AK,2,7
100126,Livengood,160,44580,16000US0244580,AK,2,10
100127,Loring,160,45020,16000US0245020,AK,2,0
100128,Lowell Point,160,45295,16000US0245295,AK,2,141
100129,Lower Kalskag,160,45460,16000US0245460,AK,2,317
100130,Lutak,160,45700,16000US0245700,AK,2,13
100131,McCarthy,160,45790,16000US0245790,AK,2,107
100132,McGrath,160,46010,16000US0246010,AK,2,346
100133,McKinley Park,160,46560,16000US0246560,AK,2,514
100134,Manley Hot Springs,160,46780,16000US0246780,AK,2,84
100135,Manokotak,160,46890,16000US0246890,AK,2,691
100136,Marshall,160,47000,16000US0247000,AK,2,350
100137,Meadow Lakes,160,47735,16000US0247735,AK,2,7424
100138,Mekoryuk,160,47990,16000US0247990,AK,2,174
100139,Mendeltna,160,48200,16000US0248200,AK,2,22
100140,Mentasta Lake,160,48540,16000US0248540,AK,2,157
100141,Mertarvik,160,48590,16000US0248590,AK,2,0
100142,Metlakatla,160,48870,16000US0248870,AK,2,1661
100143,Minto,160,49530,16000US0249530,AK,2,257
100144,Moose Creek,160,50080,16000US0250080,AK,2,728
100145,Moose Pass,160,50190,16000US0250190,AK,2,428
100146,Mosquito Lake,160,50800,16000US0250800,AK,2,126
100147,Mountain Village,160,51180,16000US0251180,AK,2,749
100148,Mud Bay,160,51455,16000US0251455,AK,2,167
100149,Nabesna,160,51960,16000US0251960,AK,2,0
100150,Naknek,160,52060,16000US0252060,AK,2,567
100151,Nanwalek,160,52210,16000US0252210,AK,2,238
100152,Napakiak,160,52390,16000US0252390,AK,2,352
100153,Napaskiak,160,52720,16000US0252720,AK,2,408
100154,Naukati Bay,160,52845,16000US0252845,AK,2,32
100155,Nelchina,160,52915,16000US0252915,AK,2,170
100156,Nelson Lagoon,160,52940,16000US0252940,AK,2,42
100157,Nenana,160,53050,16000US0253050,AK,2,406
100158,New Allakaket,160,53162,16000US0253162,AK,2,67
100159,Newhalen,160,53270,16000US0253270,AK,2,159
100160,New Stuyahok,160,53710,16000US0253710,AK,2,609
100161,Newtok,160,53820,16000US0253820,AK,2,388
100162,Nightmute,160,53930,16000US0253930,AK,2,259
100163,Nikiski,160,54050,16000US0254050,AK,2,4549
100164,Nikolaevsk,160,54085,16000US0254085,AK,2,234
100165,Nikolai,160,54150,16000US0254150,AK,2,113
100166,Nikolski,160,54260,16000US0254260,AK,2,37
100167,Ninilchik,160,54480,16000US0254480,AK,2,728
100168,Noatak,160,54700,16000US0254700,AK,2,443
100169,Nome,160,54920,16000US0254920,AK,2,3773
100170,Nondalton,160,55030,16000US0255030,AK,2,182
100171,Noorvik,160,55140,16000US0255140,AK,2,608
100172,North Pole,160,55910,16000US0255910,AK,2,2265
100173,Northway,160,56220,16000US0256220,AK,2,131
100174,Northway Junction,160,56250,16000US0256250,AK,2,64
100175,Northway Village,160,56260,16000US0256260,AK,2,92
100176,Nuiqsut,160,56320,16000US0256320,AK,2,345
100177,Nulato,160,56350,16000US0256350,AK,2,285
100178,Nunam Iqua,160,56600,16000US0256600,AK,2,129
100179,Nunapitchuk,160,56680,16000US0256680,AK,2,554
100180,Old Harbor,160,57340,16000US0257340,AK,2,249
100181,Oscarville,160,58330,16000US0258330,AK,2,22
100182,Ouzinkie,160,58550,16000US0258550,AK,2,230
100183,Palmer,160,58660,16000US0258660,AK,2,6449
100184,Paxson,160,59320,16000US0259320,AK,2,38
100185,Pedro Bay,160,59540,16000US0259540,AK,2,12
100186,Pelican,160,59650,16000US0259650,AK,2,79
100187,Perryville,160,60200,16000US0260200,AK,2,98
100188,Petersburg,160,60310,16000US0260310,AK,2,3024
100189,Petersville,160,60460,16000US0260460,AK,2,0
100190,Pilot Point,160,60640,16000US0260640,AK,2,53
100191,Pilot Station,160,60750,16000US0260750,AK,2,582
100192,Pitkas Point,160,60860,16000US0260860,AK,2,136
100193,Platinum,160,61080,16000US0261080,AK,2,42
100194,Pleasant Valley,160,61120,16000US0261120,AK,2,168
100195,Point Baker,160,61190,16000US0261190,AK,2,41
100196,Point Hope,160,61630,16000US0261630,AK,2,562
100197,Point Lay,160,61700,16000US0261700,AK,2,285
100198,Point MacKenzie,160,61788,16000US0261788,AK,2,466
100199,Point Possession,160,61825,16000US0261825,AK,2,0
100200,Pope-Vannoy Landing,160,62125,16000US0262125,AK,2,0
100201,Portage Creek,160,62285,16000US0262285,AK,2,0
100202,Port Alexander,160,62510,16000US0262510,AK,2,31
100203,Port Alsworth,160,62620,16000US0262620,AK,2,147
100204,Port Clarence,160,63170,16000US0263170,AK,2,40
100205,Port Graham,160,63280,16000US0263280,AK,2,206
100206,Port Heiden,160,63390,16000US0263390,AK,2,81
100207,Port Lions,160,63610,16000US0263610,AK,2,231
100208,Port Protection,160,63870,16000US0263870,AK,2,82
100209,Primrose,160,64240,16000US0264240,AK,2,73
100210,Prudhoe Bay,160,64380,16000US0264380,AK,2,2724
100211,Quinhagak,160,64600,16000US0264600,AK,2,661
100212,Rampart,160,64820,16000US0264820,AK,2,7
100213,Red Devil,160,64930,16000US0264930,AK,2,22
100214,Red Dog Mine,160,64980,16000US0264980,AK,2,81
100215,Ridgeway,160,65345,16000US0265345,AK,2,2195
100216,Ruby,160,65590,16000US0265590,AK,2,202
100217,Russian Mission,160,65700,16000US0265700,AK,2,410
100218,St. George,160,65800,16000US0265800,AK,2,53
100219,St. Mary's,160,66140,16000US0266140,AK,2,583
100220,St. Michael,160,66360,16000US0266360,AK,2,396
100221,St. Paul,160,66470,16000US0266470,AK,2,576
100222,Salamatof,160,66510,16000US0266510,AK,2,1110
100223,Salcha,160,66550,16000US0266550,AK,2,984
100224,Sand Point,160,67020,16000US0267020,AK,2,1188
100225,Savoonga,160,67460,16000US0267460,AK,2,883
100226,Saxman,160,67570,16000US0267570,AK,2,401
100227,Scammon Bay,160,67680,16000US0267680,AK,2,488
100228,Selawik,160,68230,16000US0268230,AK,2,794
100229,Seldovia,160,68340,16000US0268340,AK,2,243
100230,Seldovia Village,160,68370,16000US0268370,AK,2,174
100231,Seward,160,68560,16000US0268560,AK,2,2710
100232,Shageluk,160,68670,16000US0268670,AK,2,43
100233,Shaktoolik,160,68890,16000US0268890,AK,2,223
100234,Shishmaref,160,69770,16000US0269770,AK,2,573
100235,Shungnak,160,70100,16000US0270100,AK,2,342
100236,Silver Springs,160,70320,16000US0270320,AK,2,168
100237,Sitka city and borough,160,70540,16000US0270540,AK,2,8943
100238,Skagway,160,70760,16000US0270760,AK,2,957
100239,Skwentna,160,70870,16000US0270870,AK,2,42
100240,Slana,160,70930,16000US0270930,AK,2,84
100241,Sleetmute,160,71090,16000US0271090,AK,2,96
100242,Soldotna,160,71640,16000US0271640,AK,2,4409
100243,South Naknek,160,72190,16000US0272190,AK,2,63
100244,South Van Horn,160,72230,16000US0272230,AK,2,581
100245,Stebbins,160,72960,16000US0272960,AK,2,547
100246,Steele Creek,160,72985,16000US0272985,AK,2,6272
100247,Sterling,160,73070,16000US0273070,AK,2,6054
100248,Stevens Village,160,73290,16000US0273290,AK,2,25
100249,Stony River,160,73400,16000US0273400,AK,2,40
100250,Sunrise,160,73950,16000US0273950,AK,2,15
100251,Susitna,160,74340,16000US0274340,AK,2,0
100252,Susitna North,160,74350,16000US0274350,AK,2,1404
100253,Sutton-Alpine,160,74525,16000US0274525,AK,2,1602
100254,Takotna,160,74610,16000US0274610,AK,2,49
100255,Talkeetna,160,74830,16000US0274830,AK,2,616
100256,Tanacross,160,75050,16000US0275050,AK,2,127
100257,Tanaina,160,75077,16000US0275077,AK,2,9640
100258,Tanana,160,75160,16000US0275160,AK,2,277
100259,Tatitlek,160,75380,16000US0275380,AK,2,86
100260,Tazlina,160,75480,16000US0275480,AK,2,358
100261,Teller,160,75930,16000US0275930,AK,2,165
100262,Tenakee Springs,160,76260,16000US0276260,AK,2,150
100263,Tetlin,160,76590,16000US0276590,AK,2,121
100264,Thorne Bay,160,77140,16000US0277140,AK,2,566
100265,Togiak,160,77690,16000US0277690,AK,2,787
100266,Tok,160,77800,16000US0277800,AK,2,1331
100267,Toksook Bay,160,78240,16000US0278240,AK,2,549
100268,Tolsona,160,78297,16000US0278297,AK,2,0
100269,Tonsina,160,78350,16000US0278350,AK,2,30
100270,Trapper Creek,160,78680,16000US0278680,AK,2,432
100271,Tuluksak,160,78790,16000US0278790,AK,2,436
100272,Tuntutuliak,160,79120,16000US0279120,AK,2,466
100273,Tununak,160,79230,16000US0279230,AK,2,294
100274,Twin Hills,160,79780,16000US0279780,AK,2,95
100275,Two Rivers,160,79830,16000US0279830,AK,2,238
100276,Tyonek,160,79890,16000US0279890,AK,2,214
100277,Ugashik,160,80100,16000US0280100,AK,2,19
100278,Unalakleet,160,80660,16000US0280660,AK,2,710
100279,Unalaska,160,80770,16000US0280770,AK,2,4619
100280,Upper Kalskag,160,81320,16000US0281320,AK,2,284
100281,Valdez,160,82200,16000US0282200,AK,2,3979
100282,Venetie,160,82420,16000US0282420,AK,2,177
100283,Wainwright,160,82750,16000US0282750,AK,2,458
100284,Wales,160,82860,16000US0282860,AK,2,155
100285,Wasilla,160,83080,16000US0283080,AK,2,8676
100286,Whale Pass,160,84000,16000US0284000,AK,2,16
100287,White Mountain,160,84070,16000US0284070,AK,2,179
100288,Whitestone,160,84120,16000US0284120,AK,2,195
100289,Whitestone Logging Camp,160,84200,16000US0284200,AK,2,0
